x_mm,y_mm,thickness_mm
6.122448979591836427e+00,1.025641025641025728e+01,8.984645732468063528e+00
6.122448979591836427e+00,1.538461538461538680e+01,8.999253052250548279e+00
6.122448979591836427e+00,2.051282051282051455e+01,8.999959061961895657e+00
6.122448979591836427e+00,2.564102564102564230e+01,8.999997216291324875e+00
6.122448979591836427e+00,3.076923076923077360e+01,8.999999733650993150e+00
6.122448979591836427e+00,3.589743589743589780e+01,8.999999958398291255e+00
6.122448979591836427e+00,4.102564102564102910e+01,8.999999987598140905e+00
6.122448979591836427e+00,4.615384615384616041e+01,8.999999991845207603e+00
6.122448979591836427e+00,5.128205128205128460e+01,8.999999986770280458e+00
6.122448979591836427e+00,5.641025641025641590e+01,8.999999943767404531e+00
6.122448979591836427e+00,6.153846153846154721e+01,8.999999377799491995e+00
6.122448979591836427e+00,6.666666666666667140e+01,8.999983458441830564e+00
6.122448979591836427e+00,7.179487179487179560e+01,8.999092635434204013e+00
6.122448979591836427e+00,7.692307692307693401e+01,8.917932838841378995e+00
6.122448979591836427e+00,8.205128205128205821e+01,4.754187869200409366e+00
6.122448979591836427e+00,8.717948717948718240e+01,1.549423046930037851e+00
6.122448979591836427e+00,9.230769230769232081e+01,1.500573849707968366e+00
6.122448979591836427e+00,9.743589743589744501e+01,1.500011139003767813e+00
6.122448979591836427e+00,1.025641025641025692e+02,1.500000434660775150e+00
6.122448979591836427e+00,1.076923076923077076e+02,1.500000038017715198e+00
6.122448979591836427e+00,1.128205128205128318e+02,1.500000007712729788e+00
6.122448979591836427e+00,1.179487179487179560e+02,1.500000003498991763e+00
6.122448979591836427e+00,1.230769230769230944e+02,1.500000003227347944e+00
6.122448979591836427e+00,1.282051282051282044e+02,1.500000005285174742e+00
6.122448979591836427e+00,1.333333333333333428e+02,1.500000013171118418e+00
6.122448979591836427e+00,1.384615384615384812e+02,1.500000042946358025e+00
6.122448979591836427e+00,1.435897435897435912e+02,1.500000161016049161e+00
6.122448979591836427e+00,1.487179487179487296e+02,1.500000631881728497e+00
6.122448979591836427e+00,1.538461538461538680e+02,1.500002462834995720e+00
6.122448979591836427e+00,1.589743589743589780e+02,1.500009419911319641e+00
6.122448979591836427e+00,1.641025641025641164e+02,1.500036101774182118e+00
6.122448979591836427e+00,1.692307692307692548e+02,1.500144503672615315e+00
6.122448979591836427e+00,1.743589743589743648e+02,1.500633459717567675e+00
6.122448979591836427e+00,1.794871794871795032e+02,1.503163213792277020e+00
6.122448979591836427e+00,1.846153846153846416e+02,1.518339606645806583e+00
6.122448979591836427e+00,1.897435897435897516e+02,1.621609510089317308e+00
6.122448979591836427e+00,1.948717948717948900e+02,2.329588372492755521e+00
6.122448979591836427e+00,2.000000000000000000e+02,5.249999999999995559e+00
1.224489795918367285e+01,0.000000000000000000e+00,5.250000000000000888e+00
1.224489795918367285e+01,5.128205128205128638e+00,8.980063406873629361e+00
1.224489795918367285e+01,1.025641025641025728e+01,8.999945349749809864e+00
1.224489795918367285e+01,1.538461538461538680e+01,8.999999837823775550e+00
1.224489795918367285e+01,2.051282051282051455e+01,8.999999999415416951e+00
1.224489795918367285e+01,2.564102564102564230e+01,8.999999999996932232e+00
1.224489795918367285e+01,3.076923076923077360e+01,8.999999999999971578e+00
1.224489795918367285e+01,3.589743589743589780e+01,9.000000000000001776e+00
1.224489795918367285e+01,4.102564102564102910e+01,9.000000000000001776e+00
1.224489795918367285e+01,4.615384615384616041e+01,9.000000000000001776e+00
1.224489795918367285e+01,5.128205128205128460e+01,9.000000000000001776e+00
1.224489795918367285e+01,5.641025641025641590e+01,9.000000000000000000e+00
1.224489795918367285e+01,6.153846153846154721e+01,8.999999999999895195e+00
1.224489795918367285e+01,6.666666666666667140e+01,8.999999999934022554e+00
1.224489795918367285e+01,7.179487179487179560e+01,8.999999828986284811e+00
1.224489795918367285e+01,7.692307692307693401e+01,8.998785809514904699e+00
1.224489795918367285e+01,8.205128205128205821e+01,4.106386561781587119e+00
1.224489795918367285e+01,8.717948717948718240e+01,1.500367216387058722e+00
1.224489795918367285e+01,9.230769230769232081e+01,1.500000061514170202e+00
1.224489795918367285e+01,9.743589743589744501e+01,1.500000000029885650e+00
1.224489795918367285e+01,1.025641025641025692e+02,1.500000000000059952e+00
1.224489795918367285e+01,1.076923076923077076e+02,1.500000000000000666e+00
1.224489795918367285e+01,1.128205128205128318e+02,1.500000000000000000e+00
1.224489795918367285e+01,1.179487179487179560e+02,1.500000000000000000e+00
1.224489795918367285e+01,1.230769230769230944e+02,1.500000000000000000e+00
1.224489795918367285e+01,1.282051282051282044e+02,1.500000000000000000e+00
1.224489795918367285e+01,1.333333333333333428e+02,1.500000000000000222e+00
1.224489795918367285e+01,1.384615384615384812e+02,1.500000000000001998e+00
1.224489795918367285e+01,1.435897435897435912e+02,1.500000000000026201e+00
1.224489795918367285e+01,1.487179487179487296e+02,1.500000000000347278e+00
1.224489795918367285e+01,1.538461538461538680e+02,1.500000000004297229e+00
1.224489795918367285e+01,1.589743589743589780e+02,1.500000000049297011e+00
1.224489795918367285e+01,1.641025641025641164e+02,1.500000000558106450e+00
1.224489795918367285e+01,1.692307692307692548e+02,1.500000006915122697e+00
1.224489795918367285e+01,1.743589743589743648e+02,1.500000104947504909e+00
1.224489795918367285e+01,1.794871794871795032e+02,1.500002137662219681e+00
1.224489795918367285e+01,1.846153846153846416e+02,1.500061226049475671e+00
1.224489795918367285e+01,1.897435897435897516e+02,1.502437415035952739e+00
1.224489795918367285e+01,1.948717948717948900e+02,1.623821012962518129e+00
1.224489795918367285e+01,2.000000000000000000e+02,5.249999999999989342e+00
1.836734693877550839e+01,0.000000000000000000e+00,5.250000000000000888e+00
1.836734693877550839e+01,5.128205128205128638e+00,8.997972467507324268e+00
1.836734693877550839e+01,1.025641025641025728e+01,8.999999454293181600e+00
1.836734693877550839e+01,1.538461538461538680e+01,8.999999999846936660e+00
1.836734693877550839e+01,2.051282051282051455e+01,8.999999999999948486e+00
1.836734693877550839e+01,2.564102564102564230e+01,9.000000000000001776e+00
1.836734693877550839e+01,3.076923076923077360e+01,9.000000000000001776e+00
1.836734693877550839e+01,3.589743589743589780e+01,9.000000000000001776e+00
1.836734693877550839e+01,4.102564102564102910e+01,9.000000000000001776e+00
1.836734693877550839e+01,4.615384615384616041e+01,9.000000000000001776e+00
1.836734693877550839e+01,5.128205128205128460e+01,9.000000000000001776e+00
1.836734693877550839e+01,5.641025641025641590e+01,9.000000000000001776e+00
1.836734693877550839e+01,6.153846153846154721e+01,9.000000000000001776e+00
1.836734693877550839e+01,6.666666666666667140e+01,9.000000000000000000e+00
1.836734693877550839e+01,7.179487179487179560e+01,8.999999999923611327e+00
1.836734693877550839e+01,7.692307692307693401e+01,8.999969605769313929e+00
1.836734693877550839e+01,8.205128205128205821e+01,3.280463553067218818e+00
1.836734693877550839e+01,8.717948717948718240e+01,1.500003424980109967e+00
1.836734693877550839e+01,9.230769230769232081e+01,1.500000000013104184e+00
1.836734693877550839e+01,9.743589743589744501e+01,1.500000000000000222e+00
1.836734693877550839e+01,1.025641025641025692e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.076923076923077076e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.128205128205128318e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.179487179487179560e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.230769230769230944e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.282051282051282044e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.333333333333333428e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.384615384615384812e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.435897435897435912e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.487179487179487296e+02,1.500000000000000000e+00
1.836734693877550839e+01,1.538461538461538680e+02,1.500000000000000222e+00
1.836734693877550839e+01,1.589743589743589780e+02,1.500000000000003997e+00
1.836734693877550839e+01,1.641025641025641164e+02,1.500000000000078382e+00
1.836734693877550839e+01,1.692307692307692548e+02,1.500000000001848077e+00
1.836734693877550839e+01,1.743589743589743648e+02,1.500000000062239991e+00
1.836734693877550839e+01,1.794871794871795032e+02,1.500000003526914538e+00
